S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,date,NEPSE Index
1,ACLBSL,-,1224.0,1224.0,1167.1,1193.0,,,,1180.3,18032.0,1224.0,21283161.2,320.0,-31.0,56.9,-2.53,4.88,1.06,891.8,782.14,1491.0,500.1,2024-08-05,"2,796.38"
1,ACLBSL,-,1170.0,1200.0,1098.6,1200.0,,,,1165.82,15826.0,1193.0,18450264.0,341.0,7.0,101.4,0.59,9.23,2.85,,,1491.0,500.1,2024-08-06,"2,651.32"
1,ACLBSL,-,1176.0,1294.0,1151.5,1294.0,,,,1192.24,15271.0,1200.0,18206728.7,319.0,94.0,142.5,7.83,12.38,7.86,902.64,789.88,1491.0,500.1,2024-08-07,"2,759.67"
1,ACLBSL,-,1295.0,1295.0,1221.0,1230.2,,,,1238.92,10751.0,1294.0,13319620.4,182.0,-63.8,74.0,-4.93,6.06,-0.71,907.72,793.64,1491.0,500.1,2024-08-08,"2,766.38"
1,ACLBSL,-,1250.0,1324.0,1231.0,1270.0,,,,1250.37,14328.0,1230.2,17915347.5,311.0,39.8,93.0,3.24,7.55,1.55,913.14,797.67,1491.0,500.1,2024-08-11,"2,860.84"
1,ACLBSL,-,1244.6,1319.0,1230.0,1250.0,,,,1247.8,14944.0,1270.0,18647137.5,279.0,-20.0,89.0,-1.57,7.24,0.18,918.35,801.67,1491.0,500.1,2024-08-12,"2,931.65"
1,ACLBSL,-,1225.0,1345.0,1188.0,1269.0,,,,1232.57,21374.0,1250.0,26344921.4,373.0,19.0,157.0,1.52,13.22,2.87,923.7,805.8,1491.0,500.1,2024-08-13,"2,923.46"
1,ACLBSL,-,1243.7,1243.7,1201.0,1225.0,,,,1220.23,4480.0,1269.0,5466613.7,167.0,-44.0,42.7,-3.47,3.56,0.39,928.69,809.7,1491.0,500.1,2024-08-14,"2,957.75"
1,ACLBSL,-,1220.0,1220.0,1185.0,1189.9,,,,1194.8,15602.0,1225.0,18641268.6,346.0,-35.1,35.0,-2.87,2.95,-0.41,933.39,813.47,1491.0,500.1,2024-08-15,"3,000.81"
1,ACLBSL,-,1189.9,1189.9,1145.0,1145.1,,,,1156.57,13029.0,1189.9,15068939.1,285.0,-44.8,44.9,-3.77,3.92,-1.0,937.85,816.94,1491.0,500.1,2024-08-18,"2,966.33"
1,ACLBSL,-,1131.0,1144.0,1090.0,1109.6,,,,1116.41,13020.0,1145.1,14535662.5,255.0,-35.5,54.0,-3.1,4.95,-0.61,941.92,820.22,1491.0,500.1,2024-08-21,"2,968.44"
1,ACLBSL,-,1100.0,1130.0,1080.0,1130.0,,,,1102.0,13447.0,1109.6,14818593.3,324.0,20.4,50.0,1.84,4.63,2.48,946.12,823.61,1491.0,500.1,2024-08-22,"2,974.46"
1,ACLBSL,-,1131.0,1220.0,1110.0,1170.1,,,,1174.17,14424.0,1130.0,16936202.9,310.0,40.1,110.0,3.55,9.91,-0.35,950.71,827.16,1491.0,500.1,2024-08-25,"2,894.57"
1,ACLBSL,-,1193.5,1200.0,1127.0,1170.0,,,,1167.22,10522.0,1170.1,12281512.4,248.0,-0.1,73.0,-0.01,6.48,0.24,955.31,830.75,1491.0,500.1,2024-08-27,"2,782.60"
1,ACLBSL,-,1170.0,1175.0,1111.1,1144.9,,,,1144.44,5482.0,1170.0,6273807.7,139.0,-25.1,63.9,-2.15,5.75,0.04,959.71,834.22,1491.0,500.1,2024-08-28,"2,786.40"
1,ACLBSL,-,1130.0,1138.0,1103.0,1138.0,,,,1115.74,7154.0,1144.9,7981968.6,138.0,-6.9,35.0,-0.6,3.17,1.96,964.05,837.54,1491.0,500.1,2024-08-29,"2,749.57"
1,ACLBSL,-,1117.0,1134.4,1080.0,1081.0,,,,1094.96,11424.0,1138.0,12508824.0,216.0,-57.0,54.4,-5.01,5.04,-1.29,968.0,840.55,1491.0,500.1,2024-09-01,"2,695.93"
1,ACLBSL,-,1100.0,1134.2,1075.0,1134.2,,,,1100.2,7886.0,1081.0,8676159.6,197.0,53.2,59.2,4.92,5.51,3.0,972.41,843.88,1491.0,500.1,2024-09-02,"2,823.25"
1,ACLBSL,-,1134.0,1140.0,1111.0,1116.0,,,,1127.74,3903.0,1134.2,4401581.9,97.0,-18.2,29.0,-1.6,2.61,-1.05,,,1491.0,500.1,2024-09-03,"2,830.20"
1,ACLBSL,-,1120.1,1150.0,1090.0,1095.0,,,,1116.26,8224.0,1116.0,9180082.2,166.0,-21.0,60.0,-1.88,5.5,-1.94,980.71,850.25,1491.0,500.1,2024-09-04,"2,739.46"
1,ACLBSL,-,1080.0,1144.4,1080.0,1115.0,,,,1122.07,9512.0,1095.0,10673084.0,183.0,20.0,64.4,1.83,5.96,-0.63,984.98,853.55,1491.0,500.1,2024-09-05,"2,727.36"
1,ACLBSL,-,1137.0,1181.9,1115.0,1143.0,,,,1152.78,12485.0,1115.0,14392512.2,266.0,28.0,66.9,2.51,6.0,-0.86,989.51,857.01,1491.0,500.1,2024-09-08,"2,701.90"
1,ACLBSL,-,1155.0,1165.0,1103.7,1104.0,,,,1114.35,5094.0,1143.0,5676490.8,111.0,-39.0,61.3,-3.41,5.55,-0.94,993.64,860.32,1491.0,500.1,2024-09-09,"2,646.03"
1,ACLBSL,-,1120.0,1125.0,1078.0,1081.0,,,,1095.51,5292.0,1104.0,5797460.3,105.0,-23.0,47.0,-2.08,4.36,-1.34,997.57,863.46,1491.0,500.1,2024-09-10,"2,632.94"
1,ACLBSL,-,1075.1,1100.0,1075.1,1077.1,,,,1087.85,4988.0,1081.0,5426212.8,113.0,-3.9,24.9,-0.36,2.32,-1.0,1001.45,866.61,1491.0,500.1,2024-09-11,"2,610.21"
1,ACLBSL,-,1077.4,1106.0,1055.0,1089.0,,,,1080.2,5989.0,1077.1,6469289.3,129.0,11.9,51.0,1.1,4.83,0.81,1005.19,869.85,1491.0,500.1,2024-09-12,"2,688.53"
1,ACLBSL,-,1110.0,1110.0,1065.4,1066.0,,,,1091.14,5008.0,1089.0,5464418.3,110.0,-23.0,44.6,-2.11,4.19,-2.36,1008.41,872.94,1491.0,500.1,2024-09-15,"2,637.79"
1,ACLBSL,-,1066.0,1070.0,1031.0,1031.1,,,,1051.02,6402.0,1066.0,6728640.5,113.0,-34.9,39.0,-3.27,3.78,-1.93,1011.25,875.67,1491.0,500.1,2024-09-16,"2,580.76"
1,ACLBSL,-,1021.0,1031.0,1011.0,1011.0,,,,1019.54,3796.0,1031.1,3870163.3,96.0,-20.1,20.0,-1.95,1.98,-0.84,1013.94,878.15,1491.0,500.1,2024-09-18,"2,576.76"
1,ACLBSL,-,1025.1,1046.0,1015.0,1018.2,,,,1027.37,2592.0,1011.0,2662955.1,67.0,7.2,31.0,0.71,3.05,-0.9,1016.78,880.78,1491.0,500.1,2024-09-22,"2,588.35"
1,ACLBSL,-,1012.0,1012.0,986.0,988.1,,,,998.89,4591.0,1018.2,4585883.8,80.0,-30.1,26.0,-2.96,2.64,-1.09,1019.39,883.25,1491.0,500.1,2024-09-23,"2,529.33"
